abb,exp,chemical,disease,simple_chemical
LBBB,Left bundle branch block,,inflammatory bowel disease,
mAs,Milliampsec,,inflammatory bowel disease/low grade alimentary tract lymphoma,
mmol,Millimols,,inflammed and small scratch,
MODS,Multiple organ dysfunction syndrome,,inflammed and sore skin,
MVD,Mitral valve disease,,inflammed horizontal ear canals,
OA,Osteoarthritis,,inflammed horizontal ear cannal,
PCR,Polymerase chain reaction,,inflammed not infected,
PCV,Packed cell volume,,inflammed skin,
PHT,Pulmonary arterial hypertension,,Ingrown,
PME,Post mortem examination,,inguinal hernia,
PO,Per os by mouth,,injury Vesicular stomatitis,
PPDH,Peritoneal-pericardial diaphragmatic hernia,,insect bite,
ppm,Parts per million,,intermittent Diarrhea,
PRN,As required,,intermittent Vomiting,
PTH,Parathyroid hormone,,intermittent vomiting,
q28d,Every twenty-eight days monthly,,Intervertebral disc disease,
q2h,Every two hours,,intestinal diarrhoea,
q7d,Every seven days weekly,,intestinal thickening,
q6h,Four times daily,,intolerence,
QID,Four times daily,,Intra-thoracic esp RAG,
RBC,Red blood cells,,Intra-thoracic germ,
RH,Relative humidity,,Intra-thoracic 's bleeding,
hbc,hit by car,,Intra-thoracic 's parasitic,
RTA,Road traffic accident,,irritable bowel,
SC,Subcutaneous NOT SQ,,irritation,
SG,Specific gravity,,irritation of skin original inciting,
SID,Once daily,,isoerythrolysis infection,
SIRS,Systemic inflammatory response syndrome,,isosthenuria,
T3,Tri-iodothyronine,,isosthenuric,
T4,Thyroxine,,itch,
TEG,Thromboelastography,,itch / inflam,
TID,Three times daily,,itchiness,
TRH,Thyrotropin releasing hormone,,itching,
TSH,Thyroid stimulating hormone,,Itchy,
VPC,Ventricular premature contraction,,itchy,
VRA,Vascular ring anomaly,,itchy rubbing around At night wall,
VSD,Ventricular septal defect,,jaundice,
WBC,White blood cells,,juvenile pyoderma/contact,
CPK, Creatine phosphokinase kinase ,,juvenile vulva,
AD,Right ear,,keratic,
adlib,Available,,keratitis,
ALKP,Alkaline phosphatase,,Keratoconjunctivitis sicca,
ALT,Alanine aminotransferase,,keratosis,
Ant,Anterior,,kidney disease,
AST,Aspartate aminotransferase,,kidney failure,
ATG,Added to,,knee dry,
AU,Both ears,,laboured,
BID,Twice per,,lacrimation conjunctival hyperaemia,
BTrio,Breeding,,lame,
BAR,"Bright, alert",,lame Rf/corneal ulcer,
BCS,Body condition,,lame Vomiting,
BrdTrio,Breeding,,Lameness,
BUN,Blood urea,,lameness,
BW,Body weight,,Left anal abcess,
Bx,Biopsy,,Left anal sac empty .,
Ca,Calcium,,left back leg,
CBC,Complete blood,,Left eye conjunctivitis,
Cd,Caudal,,left eye coreal ulcer,
Chem,Chemistry panel,,left eye epiphora,
CK,Creatine kinase,,left fore lameness,
Cl,Chloride,,Left Hind weakness,
cm,Centimeter,,Left leg - severe reduction,
COF,Chow on,,left stifle crepitus,
CPK,Creatine phosphokinase,,Leg Pododermatitis aseptica diffusa,
Cr,Cranial,,Leg trembling,
CREA,Creatinine,,legged back legs,
CTM,Continue to,,leishmania,
CV,Cardiovascular,,leishmaniasis,
DA,Distended abdomen,,lenticular sclerosis,
D/C,Discontinue,,Lethargic,
Ddx,Differential diagnosis,,lethargy,
DOA,Dead on,,leukaemia,
DV,Dorso-ventral,,LHS mouth,
Dx,Diagnosis,,lichenification of inguinal region,
ED,Enviro-dri,,lick Intra-thoracic,
EENT,"Eyes, ears",,liekly heart disease,
EOD,Every other,,ligament damage,
EU,Excessive urination,,ligament/tendon injury,
FO,Find original,,Likley oesophagitis/gastritis,
F/W,Fight wounds,,lipoma,
Fx,Fracture,,lipomas,
GI,Gastrointestinal,,lips - nausea,
GIT,Gastrointestinal tract,,liver damage,
HCT,Hematocrit,,liver neoplasia,
Hgb,Hemoglobin,,long lumps,
IC,Intracardiac,,looks infected,
ID,Intradermal,,looks like colitis,
IM,Intramuscular,,looks like exuberant granulation,
IP,Intraperitoneal,,looks like miliary dermatitis,
Lat,Lateral,,looks like small papilloma,
LN,Lymph node,,looks sore,
Mal,Malocclusion,,loose bowels,
Med,Medial,,loose scabs,
MI,"Micro-isolation, micro-isolator",,loss of hindlimb mucsle mass,
mm,Millimeter,,loss of movement,
Na,Sodium,,Loss of muscle mass,
Neg,Negative,,loss of muscle mass,
NOSF,No other,,Loss of temporal muscle,
NPO,Nothing by,,loss of weight,
NSF,No significant,,lung disease,
O,Objective,,luxation,
OD,Right eye,,lymes disease,
OS,Left eye,,lymphadenopathy,
OU,Both eyes,,Lymphoma,
P,Pulse or,,malassezia infection,
PCV,Packed cell,,malignancy,
PE,Physical exam,,malocclusion,
PHOS,Phosphorus,,Malocclusion seizures,
PLNs,Peripheral lymph,,malodour,
Plt,Platelet count,,malssezia overgrowth,
PO,By mouth,,mammary cancer,
Pos,Posterior or,,mammary carcinoma,
PPE,Personal protective,,mammary carcinomas,
PRN,As needed,,mammary enlargement,
q,Every or,,mammary line Vomiting hard and swollen,
QAR,"Quiet, alert",,mammary mass,
QID,4 times,,mammary mass palp,
R,Respirations,,mammary neoplasia,
R,Right,,mammary tubular,
RBC,Red blood,,mammary tubular carcinoma,
R/O,Rule out,,mammary tumour,
RR,Respiratory rate,,mandibular pain,
S,Subjective,,manic,
SC,Subcutaneous,,mass RHS chest - suspect lipoma,
SID,Once per,,massive flea infection,
Sl,Slightly,,mastitis,
S/O,"Subjective, objective",,maxillar fracture,
SPF,Specific pathogen,,maxillary cheek teeth,
SQ,Subcutaneous,,maybe immune-mediated,
SSD,Silver sulfadiazine,,MC,
Sup,Superior,,medial carpal wound,
Sx,Surgery,,melaena,
T,Temperature,,melanoma,
TAO,Triple antibiotic,,meningitis,
TBIL,Total bilirubin,,meniscal damage,
TID,Three times,,mets,
TM,Tumor monitoring,,mid/cd abdomen small apricot sized mass present,
TP,Total protein,,mild painful reaction At night carpus,
Tx,Treatment,,miliary dermatitis,
TNT,Toenail trim,,miliary like dermatitis,
UD,Ulcerative dermatitis,,miosis,
U/F,Urine and feces,,Mitral valve disease,
UG,Urogenital,,mod dental disease,
USG,Urine specific gravity,,molars/incisors,
UTD,Up to date,,morning Vomiting,
UTI,Urinary tract infection,,mouth - gingivitis,
VD,Ventro-dorsal,,mouth lesion,
VT,Veterinary technician,,mouth pain,
W,Weanlings,,MP,
WBC,White blood cell count,,mucopurulent,
WNL,Within normal limits,,mucoses,
WPL,Within protocol limits,,mucous tearing,
Ab,Arterial blood gas,,mucousy bile vomit,
l2,Nobivaclepto2,,murmurs,
L4,Nobivaclepto4,,murmurs and lung field,
KCV,Kennel Cough Vaccine,,Muscle atrophy,
KC, Kennel Cough,,muscle atrophy,
D+, diarrhoea ,,Muscle loss,
V+, vomiting ,,muscle loss,
DHP,nobivacdhp,,muscle mass,
AbcOrAbx , antibiotics,,Muscle mass loss,
Abd , abdomen,,muscle spasm,
Ac , before meals,,muscle swelling,
ACT , activated clotting time,,muscle tone loss,
ACTH , adrenocorticotropic hormone,,muscle twitch,
AD , right ear,,muscle twitching lateral neck muscles,
ADH ," antidiuretic hormone, Vasopressin",,Muscle wastage,
AdLib , as desired,,muscle wastage,
ADR , ain’t doing right,,Muscle wastage hindlimbs,
AF , atrial fibrillation,,muscle weakness,
AG , albumin/globulin ratio,,muscles loss,
AI , artificial insemination,,muscular injury,
AIHA , autoimmune hemolytic anemia,,muscular injury/stifle joint strain/bone contussion/fisure,
Alb , albumin,,mydriasis,
ALKP , alkaline phosphatase,,myelosuppression,
ALT , alanine aminotransferase,,myopathy,
ANS , autonomic nervous system,,N/V,
AP , anterior posterior,,nausea,
APC , atrial premature contraction,,NB,
ARF , acute renal failure,,NEC,
AST , aspartate aminotransferase,,neck injury,
ATE , aortic thromboembolism,,neck pain,
AU , both ears,,necrotic,
AV , atrioventricular,,neoplasia,
Ba , barium,,neoplasms,
BARH ," bright, alert, responsive, and hydrated",,neoplastic,
BAR ," bright, alert, and responsive",,Neovascularisation,
BBB , blood brain barrier,,neovascularization,
BD/LD , big dog/little dog,,nerve damage,
BID , twice per day,,nerve deficit,
BM , bowel movement,,nerve injury,
BP , blood pressure,,nervous Diarrhea,
BPH , benign prostatic hypertrophy,,nervous of Intra-thoracic,
BT , bleeding time,,neuromuscular disorder,
BUN , blood urea nitrogen,,Newcastle disease,
Bx , biopsy,,Newcastle disease 4 toes licking,
C , with,,Newcastle disease looks hunched,
C , Celsius,,Newcastle disease rhythm,
"C1,C2 "," first cervical vertebra, second cervical vertebra",,NFT,
Cal , calories,,nipple of glands 2 and 3,
Cap , capsule,,non infected,
CBC , complete blood count,,non-erythematous,
CC , chief complaint/cubic centimeter,,non-resolving,
CD , canine distemper,,Nose bleed,
Chem ," profile, blood profile, chemistry, blood chemistry, diagnostic profile",,nostril stenosis,
CHF , congestive heart failure,,nuclear sclerosis,
CK , creatine kinase,,nutritional osteodystrophy,
Cm , centimeter,,nystagmus,
CNS , central nervous system,,o/w Vomiting,
CO , carbon monoxide,,obesity,
CO2 , carbon dioxide,,obstruction,
Code/CodeBlue , emergency help,,obstructions,
COPD , chronic obstructive pulmonary disease,,ocasionally licking,
COR , care of remains,,ocassionally itchy,
CPCR , cardiopulmonary cerebral resuscitation,,occular,
CPK , creatine phosphokinase,,ocular disease,
CPR , cardiopulmonary resuscitation,,ocular lubricants,
CPV , canine parvovirus,,oedema,
Creat , creatinine,,oesophageal damage,
CRF , chronic renal failure,,opacity,
CRI , constant rate infusion,,opsurnia,
CSF , cerebrospinal fluid,,optic disc,
CSVD ," coughing, sneezing, vomiting, diarrhea",,optic nerve,
CTScan , computed tomography,,"Oral disease teeth 207,8",
CV , cardiovascular,,oropharyngeal Fb/enlarged/inflammed tonsils,
CVA , cerebral vascular accident,,Ortolani,
CVI , cervical vertebral instability,,osteoarthritis,
CVT , certified veterinary technician,,osteoarthritis degeneration,
CXR , chest X-ray radiograph,,osteodystrophy,
D , diarrhea,,otitic,
D/C , discontinue,,Otitis,
DCM , dilated cardiomyopathy,,otitis,
DDD , degenerative disc disease,,Otitis Externa,
DDX , differential diagnosis,,ototoxicity,
Derm , dermatology,,overdose,
DFW , dog fight wounds,,Overweight,
DI , diabetes insipidus,,P.,
DIC , disseminated intravascular coagulation,,Pain,
Diff , differential count,,pain,
Dig , digoxin,,painful back legs,
DJD , degenerative joint disease,,palate,
DLH , domestic long-haired cat,,palp goitre,
DM , diabetes mellitus,,palp kidneys small and shrivelled,
DMH , domestic medium-haired cat,,palpable kidneys and bladder,
DNA , deoxyribonucleic acid,,palpation lumbar spine,
DPL , diagnostic peritoneal lavage,,pancreatic inflammation/ panceatitis,
DSH , domestic short-haired cat,,Pancreatitis,
Dx , diagnosis,,pancreatitis,
ECGorEKG , electrocardiogram,,pancreatits,
EEG , electroencephalogram,,paralysis,
EENT ," eyes, ears, nose, and throat",,paraspinal pain,
ELISA , enzyme-linked immunosorbent assay,,paresis,
EMG , electromyogram,,partial obstruction,
EOD , every other day,,pasty,
Eos , eosinophil,,patella luxation,
ED , every day,,patellar luxation,
EMD , electromechanical dissociation,,pea-size mass palpable,
F , Fahrenheit,,pedal derma agin sore,
FA , fluorescent antibody,,Pedal pruritus,
FAD , flea allergy dermatitis,,pedunculated,
FBS , fasting blood sugar,,Pendulous abdomen,
FDA , Food And Drug Administration,,percardial effusion,
Fel , feline,,perforation,
Felv , feline leukemia virus,,perianal,
FHA , femoral head and neck osteotomy,,Perianal erythema,
FIA , feline infectious anemia,,Peri-anal mass,
FIP , feline infectious peritonitis,,perianal puritis,
FIV , feline immunodeficiency virus,,peri-anal tissue sore,
Fl , fluid,,perineum,
FLUTD , feline lower urinary tract disease,,periodontal disease,
FNA , fine needle aspirate,,peripheral lymphadenopathy,
FORL , feline odontoclastic resorptive lesion,,peripheral to vulva,
FSH , follicle-stimulating hormone,,peritoneal effusion,
FU ," follow-up in reference to next lab procedure, re-evaluation, etc ",,peritonitis,
FUS , feline urologic syndrome,,pharyngitis,
Fx , fracture,,phlegm,
GorGm , gram,,photophobia,
Gal , gallons,,pinkness,
GDV , gastric dilatation volvulus,,pinnas erythema,
GFR , glomerular filtration rate,,pitting,
GH , growth hormone,,plaque- Vomiting,
GI , gastrointestinal,,PLE,
Glu , glucose,,pleural space disease,
Gr , grain,,pneumonia,
GSD , German Shepherd dog,,pododermatitis,
Gtt , drops,,Pododermatitis aseptica diffusa,
H , hour,,Pododermatitis aseptica diffusa - scuffed,
Hb , hemoglobin,,Pododermatitis aseptica diffusa 1 & quot,
HBC , hit by car,,Pododermatitis aseptica diffusa dry,
HCM , hypertrophic cardiomyopathy,,Pododermatitis aseptica diffusa of digit 3,
HCT , hematocrit,,Pododermatitis aseptica diffusa of digit II,
HD , hip dysplasia,,Pododermatitis aseptica diffusa of Right Fore Leg At night lateral side,
HDDST , high dose dexamethasone suppression test,,Pododermatitis aseptica diffusa of right hind,
Hg , mercury,,Pododermatitis aseptica diffusa Right Fore Leg,
HGE , hemorrhagic gastroenteritis,,Pododermatitis aseptica diffusa wax - <,
H/L , heart and lungs,,polakiuria,
HOD , hypertrophic osteodystrophy,,pollakiuria,
HR , heart rate,,pollakuria,
Hs , bedtime,,polydipsia,
HSA , hemangiosarcoma,,polyp,
HW , heartworm,,polyphagia,
Hx , history,,Polyuria,
H2O2 , hydrogen peroxide,,Polyuria polydipsia,
ICU , intensive care unit,,polyuria/polydipsia,
IC , intracardiac,,polyuric,
ID , intradermal,,Poss dacrocystitis,
IFA , indirect fluorescent antibody,,Poss lipoma,
Ig , immunoglobulin,,post-mating infection,
IM , intramuscular,,primary polydipsia,
IMHA , immune-mediated hemolytic anemia,,primary pulmonary hypertension,
Inj , injection,,prolapsed vagina,
IO , intraosseous,,proprioceptive deficits,
IOP , intraocular pressure,,Proptosis,
IP , intraperitoneal,,prostate,
IPPV , intermittent positive pressure ventilation,,protozoal,
ITP , immune-mediated thrombocytopenia,,proximal Pododermatitis aseptica diffusa,
IU , international units,,Pruritic,
IV , intravenous,,pruritic,
IVDD , intervertebral disk disease,,Pruritis,
IVP , intravenous pyelogram,,pruritis,
K9 , canine,,Pruritus,
K , potassium,,pruritus,
KBr , potassium bromide,,Pruritus axillae,
Kcal , kilocalories,,ptyalism,
KCS , keratoconjunctivitis sicca,,ptyalism Diethylcarbamazine,
Kg , kilograms,,PU/PD,
L , liters,,puffy,
"L1,L2 "," first, second lumbar vertebra",,pulmonary disease,
LA , left atrium,,pulmonary disorder,
Lat , lateral,,pulmonary fibrosis,
Lb , pound,,pulmonary hypertension,
LDDST , low-dose dexamethasone suppression test,,puritic,
LH , luteinizing hormone,,puritis,
LN , lymph nodes,,Purulent,
LRS , lactated ringers solution,,purulent,
LSA , lymphosarcoma,,purulent crusting,
LV , left ventricle,,purulent ulceration,
LVT , licensed veterinary technician,,pyelonephritis,
Lymphs , lymphocytes,,Pyoderma,
Mg , milligram,,pyoderma,
MI , mitral insufficiency commonly used for myocardial infarction in humans,,pyometra,
Ml , milliliter,,pyrexia,
MM , mucous membranes,,pyrexic,
MR , mitral regurgitation,,r/c abscess,
MRI , magnetic resonance imaging,,Rash,
MS , musculoskeletal,,rash,
Na , sodium,,rash/dermatitis,
NAF , no abnormal findings,,RD,
NPO , nil per os no food or water by mouth,,Referred,
NSA , normal sinus arrhythmia,,renal calculi,
NSF , no significant findings,,renal disease,
NSR , normal sinus rhythm,,renal failure,
NSU , no significant change from last exam,,Renal insufficiency,
NVL , no visible lesions,,Renal insufficiency stfle stiffnes,
O , owner,,respiratory infection,
O2 , oxygen,,respiratory sinus arrhtmia,
OD , right eye,,retch,
OES , Old English Sheepdog,,retching,
OFA , Orthopedic Foundation For Animals,,retina/ lens,
OHE , ovariohysterectomy,,retinal damage,
OR , operating room,,retinal degeneration,
OS , left eye,,retinal haemorrhage,
OSI , owner stopped in,,revelaed glucoma,
OU , both eyes,,Rheumatoid arthritis,
OV , office visit,,rhinitis,
Oz , ounce,,right eye corneal abrasion,
Path , pathology,,Right eye quescent,
PC , after meals,,Right eye serous,
PCFO , phone call from owner,,right eye squint,
PCTO , phone call to owner,,right joint infection,
PCV , packed cell volume,,right luxating patella,
PDA , patent ductus arteriosus,,ringworm,
PE , physical examination/pulmonary edema,,rupture,
PEA , pulseless electrical activity previously EMD,,Ruptured Antigen abcess,
PlEff , pleural effusion,,S. Disc signs Congestive heart failure,
PLN , peripheral lymph nodes,,SAD,
Plt , platelet,,salivary gland enlargement,
PO , per os/by mouth,,samall eyelid massL eye irritating eye-,
PPM , persistent papillary membrane,,sarcoma,
PPMSH , past pertinent medical and surgical history,,scabby,
PPN , partial parenteral nutrition,,scabby lesion,
PRAA , persistent right aortic arch,,scabs,
PRBC , packed red blood cells,,scapular focal alopecia,
PRN , as needed,,SCC,
PT , prothrombin time,,scleral congestion,
PTH , parathyroid hormone,,scleral hyperaemia,
PTT , partial thromboplastin time,,Scrapes,
PU/PD , polyuric/polydypsic,,scruffy,
PVC , premature ventricular contraction,,scurfy - dandruff,
Px , prognosis,,scurvy,
Q , every,,SE,
Q4h , every 4 hours,,sebaceous hyperplasia,
QAR ," quiet, alert, responsive",,seborrhea,
QD , every day,,seizure,
QID , four times daily,,seizures,
QOD , every other day,,self-trauma,
RA , right atrium,,Sepsis,
R&A , resection and anastomosis,,septic,
RACL , ruptured anterior cruciate ligament,,seroma,
RBC , red blood cell,,serosanguinous,
RDVM , referring veterinary colleague,,serous,
REM , rapid eye movement,,serous ocular,
RMSF , Rocky mountain spotted fever,,shock,
R/O , rule out,,sick white phlegm,
RT , radiation therapy,,significantweight loss,
RV , right ventricle,,sinus arrhythmia,
RVN , registered veterinary nurse,,sinus arrythmia,
RVT , registered veterinary technician,,sinus arrythmia - bvery,
Rx , prescription,,sinus tract,
S , without,,sinusitis,
SA , sinus arrhythmia,,sistemic,
SC , subcutaneously,,SIT,
SID , once per day,,skin - chin scabby,
SLE , systemic lupus erythematosus,,skin - convenia,
Sig: , directions to patient,,skin allergies,
SOAP ," signalment, objective, assessment, plan",,Skin allergy,
SQ , subcutaneously,,skin allergy,
Staph , staphylococcus,,skin cyst right hand side neck,
Stat , immediately,,skin damage,
SX , surgery,,skin disease,
Sz , seizure,,skin disorder,
T , temperature,,skin erythema,
Tab , tablet,,skin fold creases,
Tbsp , tablespoon 15 ml,,Skin infection,
TID , three times per day,,skin infection,
Top , topically,,skin inflamation,
TP , total protein,,skin injury,
TPN , total parenteral nutrition,,skin irritation,
TPR ," temp, pulse, respiratory rate",,skin irritations,
Tsp , teaspoon 5 ml,,skin itch,
Tx , treatment,,skin lesion,
U , units/urine,,skin lesions,
UA , urinalysis,,Skin lesions scaly,
UGI , upper gastrointestinal,,skin mass,
URI , upper respiratory infection,,skin scabby,
URV , upper respiratory virus,,Skin scurfy,
US , ultrasound,,Skin sore,
UTI , urinary tract infection,,skin sore,
UO , urinary obstruction,,Skin tent,
V , vomiting,,Skin ulcer,
VA , veterinary assistant,,slowness,
VD , ventrodorsal,,small bowel,
V/D , vomiting/diarrhea,,small cell lymphoma '',
VPC , ventricular premature contraction,,small cystic mass,
VWD , von Willebrand’s disease,,small goitre,
WBC , white blood cell,,small growths,
WNL , within normal limits,,small lipoma,
Wt , weight,,small lipoma ventral chest betw legs,
X-Ray , radiograph C-X-ray = chest X-ray; Abd X-ray = abdominal X-ray,,small lumps beneath skin At night back,
AAAP,1   American Association of Avian Pathologists; 2   Asian-Australasian Association of Animal Production Societies,,small mass ventrum,
AABP,American Association of Bovine Practitioners,,small nodular mass,
AAEP,American Association of Equine Practitioners,,Small scabby lesions,
AAHA,American Animal Hospital Association,,small scabs,
AAFCO,American Association of Feed Control Officials,,small scabs - likely,
AASP,American Association of Swine Practitioners,,small scar,
AASRP,American Association of Small Ruminant Practitioners,,small thyroid palpable-,
"ab,Ab",Antibody,,small ulcer,
ABPE,Acute bovine pulmonary emphysema and edema,,small wart underneath,
ABVP,American Board of Veterinary Practitioners,,sneeze,
ac,"[Latin] Ante cibum / cibos, before meals",,sneezes,
ACD,Acid-citrate-dextrose,,Sneezing,
ACE,Angiotensin-converting enzyme,,sneezing,
ACL,Anterior cruciate ligament,,sneezing/coughing,
ACT,1   American College of Theriogenologists; 2   Activated coagulation time,,snoring,
ACTH,Adrenocorticotropic hormone,,snuffles,
AD,Aleutian Disease,,Sore,
ADF,Acid detergent fiber,,sore,
ADH,"Antidiuretic hormone, vasopressin",,sore - interdigital dermatitis,
ADP,Adenosine diphosphate,,sore gingiva,
adlib,"[Latin] Ad libitum, as much as desired",,sore mouth,
AEMV,American Exotic Mammal Veterinarians,,sore skin external pinna,
AFIP,Armed Forces Institute of Pathology,,spasm,
"ag, Ag",1   Antigen; 2   Antigenemia,,Spasms,
AGID,Agar gel immunodiffusion,,spinal pain,
AHS,African horse sickness,,spleen disease,
AHT,Animal health technician,,spondylopathy,
AHV-1,Alcelaphine herpesvirus 1,,spondylosis,
AI,Artificial insemination,,sprain,
AIDS,Acquired immunodeficiency syndrome,,squamous cell carcinoma,
AIHA,Autoimmune hemolytic anemia,,SSI,
AIPE,Asphyxia-induced pulmonary edema,,staphylococcal pyoderma,
ALD,Approximate lethal dose,,stem haemorrhage,
ALP,Alkaline phosphatase,,stenosis,
ALT,"Alanine aminotransferase / alanine transaminase see also GPT, SGPT",,Stenotic hairy canal,
AMB,Amphotericin B,,sternal,
ANA,Antinuclear antibodies,,Stiff,
ANF,Atrial natriuretic factor,,stifle crepitus,
ant,Anterior,,stifle lateral sore,
AP,Anterior-posterior,,stifle sprain,
APHIS,Animal and Plant Health Inspection Service of USDA,,stifle thickening,
APPO,Assistance Program for Pet Owners,,sting,
APR,Acute phase response,,stomatitis,
APTT,Activated partial thromboplastin time,,stomatitis nervous,
APUD,Amine precursor uptake decarboxylase,,stomatitis pain,
ARD,Antibiotic-responsive diarrhea,,stopper Pododermatitis aseptica diffusa,
ARD,Acute renal disease,,stopper Pododermatitis aseptica diffusa Right Fore Leg,
ARP,American Registry of Pathology,,stranguria,
ARPAS,American Registry of Professional Animal Scientists,,stridor - laryngeal paralysis,
ASF,African swine fever,,stroke,
ASPCA,American Society for the Prevention of Cruelty to Animals,,Sudocrem,
AST,"Aspartate transaminase aspartate aminotransferase / aspartic acid trasaminase aspartic acid aminotransferase see also GOT, SGOT",,sun damage,
ATP,Adenosine triphosphate,,sunburn,
AUC,Area under the curve,,Suspect lymphoma,
AV,"1   Atriventricular; 2   Arteriovenous; 3   Abomasal volvulus see also RDA, RTA",,Susupect lipoma,
av,Average,,Sweet breath,
AVECCT,Academy of Veterinary Emergency & Critical Care Technicians,,sweling,
AVMA,American Veterinary Medical Association,,swelling,
AZT,"Azidothymidine now called Zidovudine, ZDN, 3′-Azido-3′-deoxythymidine",,swelling - cystic mass Vesicular stomatitis,
BAER,Brain stem auditory evoked responses,,swelling carpus to elbow soft,
BAL,"1  previously used name for Dimercaprol 1,2-Dimercapto-3-propanol; 2   bronchoalveolar lavage",,swelling worse/becomes lame,
BCG,Bacillus Calmette-Guérin,,Swollen lip,
BD,Border disease,,swollen vulva,
BER,Basal energy requirement,,syncope,
BFR,Benign foot rot,,systemic disease,
bid,"[Latin] Bis in die, twice a day",,tachycardia,
BIV,Bovine immunodeficiency-like virus,,Tachypnea,
BHC,Benzene hexachloride,,tachypnea,
BHV,Bovine herpesvirus,,Tachypnoea,
BLV,Bovine leukemia virus,,tear duct,
BMD,Bone mineral density,,tear ducts,
"bp,BP",Blood pressure,,tear prod,
bpm,Beats per minute,,tearing,
BPDME,Bovine progressive degenerative myeloencephalopathy,,Teeth Vomiting,
BRD,Bovine respiratory disease,,temporal atrophy,
BRS,Brown recluse spider,,temporal muscle wastage,
BRSV,Bovine respiratory syncytial virus,,tenderness,
BRT,Brucella milk ring test,,tenesmus,
BSE,Bovine spongiform encephalopathy,,testis,
BSP,Bromsulfophthalein,,thickeness tear,
BT,Bluetongue virus,,thickening of skin,
BUN,Blood urea nitrogen,,Thickening of skin at canal entrance,
BVDV,Bovine viral diarrhea virus,,thickening of stifle joints,
BW,Body weight,,Thinks lame,
Bx,Biopsy,,thinning of hair At night temples,
"C-1,C-2,C-3,…,C-7",the cervical vertebrae,,thirst,
CA,Contagious agalactia,,thorn,
CAEV,Caprine arthritis and encephalitis virus,,"thrive , chronic diarrhoea",
cAMP,Cyclic adenosine monophosphate,,throat - laryngeal paralysis,
CAR,Congenital articular rigidity,,Throat abscess,
CATscan,Computerized axial tomography,,throat swelling,
CAV,Canine adenovirus,,throaty cough,
CAV,Chick anemia virus,,thromboembolus,
CBC,Complete blood count,,thyroid adenocarcinoma,
CBF,Cerebral blood flow,,tick-borne disease,
CCHF,Crimean-Congo hemorrhagic fever,,ticks,
ccms,"Clean catch, midstream",,tissue injury,
CCV,Canine coronavirus,,tissue loss,
CDC,Centers for Disease Control and Prevention,,TN,
CDV,Canine distemper virus,,tooth ache - licking lips,
CEAH,Centers for Epidemiology and Animal Health,,tooth lesions,
CEM,Contagious equine metritis,,Tooth root abscess,
CF,1   Chronicity factor; 2   Complement fixation test,,tooth root abscess,
CFU,Colony forming units,,toxic mastitis,
CHF,Congestive heart failure,,toxicity,
CHV,Canine herpesvirus,,tracheal collapse,
CL,Corpus luteum,,tracheitis,
CLA,Caseous lymphadenitis,,traum,
CM,Castrated male,,Trauma,
CMT,California mastitis test,,trauma,
CN1,"Cranial nerve 1, olfactory nerve",,trauma inflammation,
CN2,Optic nerve,,trauma/,
CN3,Occulomotor nerve,,traumatic,
CN4,Trochlear nerve,,treatmetn,
CN5,Trigeminal nerve,,trembling,
CN6,Abducens nerve,,tremoring,
CN7,Facial nerve,,tremors,
CN8,Vestibulocochlear nerve,,trickle,
CN9,Glossopharyngeal nerve,,truama/injury,
CN10,Vagus nerve,,Tuberculosis,
CN11,Accessory nerve,,tucked-up,
CN12,Hypoglossal nerve,,tumor,
CNS,Central nervous system,,tumors,
COPD,Chronic obstructive pulmonary disease heaves,,tumour,
CP,conscious proprioception,,tumours,
CPD,Citrate-phosphate-dextrose,,Twitch,
CPD-A,Citrate-phosphate-dextrose-adenine,,Ulcer,
CPK,Creatinine phosphokinase,,ulcer,
CPR,Cardiopulmonary resuscitation,,Ulcerated mass right axillary,
CPRA,Central progressive retinal atrophy,,ulceration,
CPV,Canine parvovirus,,Ulcerative,
CRD,Chronic respiratory disease,,ulcerative,
CRD,Chronic renal disease,,Ulcers,
CRG,Controlled-release glasses,,ulcers,
crit,Hematocrit,,umbilical hernia,
CRTZ,Chemoreceptor trigger zone,,umbilical hernias,
CRWAD,Conference of Research Workers in Animal Disease,,unmanaged pain,
CSF,Cerebrospinal fluid,,Unremarkable,
CSM,Cottonseed meal,,upper hard palate,
CT,"1  Calcitonin, thyrocalcitonin; 2   computerized tomography",,upper lid droopy,
CTC,Chlortetracycline,,upset tummy 2,
CVP,Central venous pressure,,uremia,
CVT,Certified Veterinary Technician,,urethral blockage - change Intranasal behaviour/signs,
DEA,Drug Enforcement Administration,,urethral obstruction,
DEC,"Diethylcarbamazine N,N-diethyl-4-methyl-1-piperazinecarboxamide",,urinary sphincter incontinance,
DES,Diethylstilbestrol,,urinary tract,
DFA,Diffuse fibrosing alveolitis,,urinary tract disease,
DHIA,Dairy Herd Improvement Association,,Urinary Tract Infection,
DHIR,Dairy Herd Improvement Registry,,urinary tract infection,
DHLP-P,"Distemper, Hepatitis, Leptospirosis, Parainfluenza, Parvovirus vaccine",,uroliths,
DHV,Duck hepatitis virus,,URT infection,
DI,Diabetes insipidus,,USI,
DIC,Disseminated intravascular coagulation,,uterine horns small,
DIP,Distal interphalangeal joint [in horses],,uterine infection,
DJD,Degenerative joint disease,,uveitis,
DLE,Discoid lupus erythematosus,,vaginitis,
